"df_cciindia.text","df_cciindia.created"
"@CCI_India approves acquisition of additional shares by Mitsui &amp; Co., Ltd. in IHH Healthcare Berhad by way of share… https://t.co/wUzdgq1XKa",2019-03-12 16:18:38
"@CCI_India approves proposed combination of Max Healthcare Institute Limited, Radiant Life Care Private Limited and… https://t.co/te1PRhmTVo",2019-03-12 16:17:31
"@CCI_India, SIAM and ACMA organise workshop on competition issues in Automotive Sector. Chairperson Competition Com… https://t.co/jc6nh5aKez",2019-03-08 15:18:56
"CEA Dr. Krishnamurthy Subramaniam delivers keynote address at National Conference on Economics of Competition Law o… https://t.co/8IIzS6Q3Wu",2019-03-01 09:40:46
"@CCI_India approves acquisition of preference shares in Delhivery by CA Swift Investments",2019-02-27 11:03:21
"@CCI_India approves acquisition of 22.44% of the total share capital of Delhivery Pvt. Ltd. (on fully diluted basis… https://t.co/QKCVJ6R6tP",2019-02-27 11:02:22
"@CCI_India organizes Road Show on Competition  Law at Hyderabad on February 25, 2019. 
"@CCI_India approves acquisition of the global power solutions business of Johnson Controls International by Brookfield and CDPQ\"",2019-02-20 02:18:33
"@CCI_India operationalizes helpline number 011 24664333 for stakeholders and general public with immediate effect.… https://t.co/WQqXVMFrIq",2019-02-07 10:35:32
"MoU signed on 6th February, 2019, between @CCI_India and @GeM_India to establish an institutional mechanism to faci… https://t.co/GygDGXIVvG",2019-02-07 10:34:39
"@CCI_India approves acquisition of ~52% shareholding in REC Ltd by Power Finance Corporation Limited",2019-02-05 02:46:10
"@CCI_India finds no AAEC in respect of acquisition of EPC Construction India Ltd. by Royale Partners Investment Fund Ltd",2019-02-05 02:45:38
"@CCI_India approves amalgamation of GlaxoSmithKline Consumer Healthcare Limited into Hindustan Unilever Limited",2019-01-25 12:16:30
"@CCI_India approves acquisition of controlling stake of Hathway Cable and Datacom Limited by Reliance Jio",2019-01-25 12:15:55
"@CCI_India approves acquisition of controlling stake of Den Networks Limited by Reliance Jio",2019-01-25 12:15:32
"@CCI_India approves acquisition of shares in Zydus Wellness Limited by True North Funds, Zydus Family Trust, Cadila… https://t.co/g5qr4TZQvI",2019-01-25 12:15:10
"@CCI_India approves acquisition of 49% equity share capital of Witzig Advisory Services Private Limited by… https://t.co/cq8aa03ttC",2019-01-18 04:42:49
"@CCI_India approves acquisition of 99.99% of the equity share capital of Aditya Birla Retail limited (ABRL) by Witz… https://t.co/5iu4iPsOM2",2019-01-18 04:40:49
"@CCI_India approves acquisition of shares by Claymore Investments (Mauritius) Pte. Ltd in IndiaIdeas",2019-01-17 05:33:45
"@CCI_India approves acquisition of shares by Springfield International B.V. in IndiaIdeas",2019-01-17 05:33:27
"@CCI_India approves acquisition of shares by Visa in IndiaIdeas",2019-01-17 05:32:55
"@CCI_India approves acquisition of certain equity share and optionally convertible redeemable preference shares of… https://t.co/kD5E0CMUnI",2019-01-01 11:15:55
"@CCI_India Shri P K Singh appointed to the post of Secretary, Competition Commission of India.",2019-01-01 11:10:03
"@CCI_India Ms Sangeeta Verma (IES: 1981) has joined the Competition Commission of India today as Member . She was a… https://t.co/snE6fQCyPV",2018-12-24 12:47:20
"@CCI_India approves acquisition of 26% equity share capital of SBI Payment Services Private Limited by Hitachi Paym… https://t.co/0VQDKJOTEz",2018-12-21 12:25:57
"@CCI_India approves acquisition of 40% of the equity share capital of Royal Sundaram General Insurance Co. Limited… https://t.co/QHetUIJyCb",2018-12-21 12:14:21
"@CCI_India approves acquisition of 100% of the shares of GrazianoFairfield AG by the Dana International Luxembourg S.a.r.l.",2018-12-21 12:10:14
"@CCI_India approves proposed combination between Sona BLW Precision Forgings Ltd., Blackstone Group, Comstar Automo… https://t.co/Ho8MtQ005w",2018-12-21 11:41:13
"@CCI_India approves acquisition of Toyo Engineering Corporation, Japan by Integral Corporation, Japan",2018-12-21 11:39:55
"@CCI_India   Competition Commission of India does away with the use of single use plastic bottles for serving water… https://t.co/XgMnZYjpAN",2018-12-20 07:36:53
"@CCI_India Shri Vijay Rupani Chief Minister of Gujarat and the Chief Guest at the 3rd Roadshow on Competition Law g… https://t.co/jH92Dthez6",2018-12-18 05:26:48
"@CCI_India . Third Roadshow on Competition Law at Ahmedabad begins with opening speeches by Shri Ashok Kumar Gupta… https://t.co/YLWFXjuu62",2018-12-18 05:12:37
"@CCI_India Competition Commission of India starts its Third Roadshow on Competition Law at Ahmedabad, Gujarat on Tuesday 18th December 2018.",2018-12-18 05:02:56
"@CCI_India approves transaction leading to 100% shareholding of Shell in Hazira LNG Private Limited and Hazira Port Private Limited",2018-12-11 11:22:13
"@CCI_India approves acquisition of steel division of Usha Martin Limited by Tata Sponge Iron Limited",2018-12-11 11:21:52
"@CCI_India approves acquisition of businesses of Heinz related to four brands namely,'Glucon-D', 'Nycil', 'Sampriti… https://t.co/fM45z5lQcf",2018-12-11 11:21:25
"Chairperson Competition Commission of India ( @CCI_India ) welcomes EU delegation at 1st EU India Competition week… https://t.co/6wo9OR7z81",2018-12-10 07:24:37
"1st EU-India Competition Week (10-13 December 2018) launched today at Competition Commission of India (@CCI_India)-… https://t.co/FwboZtCmyt",2018-12-10 06:13:48
"@CCI_India approves acquisition of real estate assets of Embassy Group and Blackstone Group by Embassy",2018-12-06 16:36:56
"@CCI_India approves acquisition of ~51% shareholding in Sanyo Special Steel by Nippon Steel and Sumitomo Metal; and… https://t.co/k69ZeLK49G",2018-12-03 11:48:24
"@CCI_India approves, acquisition of 7% of equity shares capital of Subros Limited by Denso Corporation",2018-11-29 11:02:06
"@CCI_India approves acquisition of upto 51% equity share capital in IDBI Bank Ltd by Life Insurance Corporation of India",2018-11-27 11:24:42
"@CCI_India invites public comments in Schneider and MacRitchie's proposed acquisition of switch gear business of L&amp;… https://t.co/uwAuI63AXu",2018-11-22 06:39:07
"Appointments Committee of the Cabinet appoints Shri Ashok Kumar Gupta IAS( TN :1981) (Retd) as Chairperson in Compe… https://t.co/vFnuiGQcxY",2018-11-09 15:09:46
"@CCI_India approves acquisition of Amtek Auto Limited by Liberty House",2018-11-08 15:04:44
"Hon`ble Minister of Finance &amp; Corporate Affairs  Sh Arun Jaitley delivered keynote address at CCI National Workshop… https://t.co/MfJc9FvZqi",2018-11-05 14:44:18
"@CCI_India approves the combination of Alstom and the mobility business of Siemens.",2018-11-05 14:16:29
"Mr. Sudhir Mital, Chairperson CCI and Dr Sameer Sharma, DG &amp; CEO, IICA have signed a MOU for the establishment of C… https://t.co/heWHhaPwIX",2018-11-05 14:14:49
"@CCI_India approves acquisition of Fortis Healthcare Limited and Fortis Malar Hospital Limited by Northern TK Venture Pte. Ltd.\"",2018-10-31 14:11:27
"@CCI_India approves acquisition of 100% equity shareholding in HSCC by NBCC",2018-10-23 06:20:03
